id,Nome_escola,Cod_inep,Bairro_polo,Enderenco_polo,lat,long,Gee,Tipo_ensino,_correcao
39,ESCOLA ESTADUAL JOSE OLIVEIRA SILVA,27038521,VERGEL DO LAGO,RUA JARDIM BOA ESPERANCA,-9.655794548,-35.75357813,1ª,Escola de Ensino Regular,
40,ESCOLA ESTADUAL LIONS MACEIO PAJUCARA,27036758,POCO,RUA DIEGUES JUNIOR - REGINALDO,-9.656309532,-35.72899487,1ª,Escola em tempo integral,
41,ESCOLA ESTADUAL MAJ EDUARDO EMILIANO DA FONSECA,27038319,VERGEL DO LAGO,RUA DR LUIZ DE BARROS,-9.653295918,-35.75973207,1ª,Escola de Ensino Regular,
42,ESCOLA ESTADUAL MANOEL DE ARAUJO DORIA,27216616,ANTARES,CJ HENRIQUE EQUELMAN AV SENADOR TEOTONIO VILELA,-9.565112149,-35.74218268,13ª,Escola de Ensino Regular,
43,ESCOLA ESTADUAL MANOEL SIMPLICIO DO NASCIMENTO,27036421,JACINTINHO,R TEN CEL EXERC. BRAS. PEDRO JERONIMO DOS SANTOS,-9.644256776,-35.72098031,1ª,Escola de Ensino Regular,
44,ESCOLA ESTADUAL MANUEL BALTAZAR PEREIRA DIEGUES JUNIOR,27053520,CIDADE UNIVERSITARIA,QUADRA 7,-9.539744,-35.790764,13ª,Escola de Ensino Regular,
45,ESCOLA ESTADUAL MARCELO RESENDE,27226948,SITIO SAO JORGE,RUA LAERTE LEAO,-9.622794048,-35.71002313,1ª,Escola de Ensino Regular,
46,ESCOLA ESTADUAL MARCOS ANTONIO CAVALCANTI SILVA,27216608,BENEDITO BENTES I,AV ANTONIO LISBOA DE AMORIM,-9.547800599,-35.72994865,13ª,Escola em tempo integral,
47,ESCOLA ESTADUAL MARIA AMALIA,27036723,FERNAO VELHO,AVENIDA VALDEMAR RUFINO DOS SANTOS,-9.586373366,-35.79778153,13ª,Escola de Ensino Regular,
48,ESCOLA ESTADUAL MARIA IVONE SANTOS DE OLIVEIRA,27235807,CIDADE UNIVERSITARIA,RUA JOSE AUGUSTO LESSA,-9.546454272,-35.78417567,13ª,Escola em tempo integral,
49,ESCOLA ESTADUAL MARIA RITA LYRA DE ALMEIDA,27220036,TRAPICHE DA BARRA,AVENIDA SIQUEIRA CAMPOS,-9.671492316,-35.76550769,1ª,Escola em tempo integral,
50,ESCOLA ESTADUAL MARIA ROSALIA AMBROZZIO,27038696,FAROL,AVENIDA FERNANDES LIMA,-9.640629791,-35.74120234,13ª,Escola em tempo integral,
51,ESCOLA ESTADUAL MARIA SALETE GUSMAO DE ARAUJO,27225674,CLIMA BOM I,RUA EM PROJETO CJ OSMAM LOUREIRO,-9.577222763,-35.78030503,13ª,Escola em tempo integral,
52,ESCOLA ESTADUAL MOREIRA E SILVA,27036782,FAROL,AVENIDA FERNANDES LIMA,-9.641450923,-35.73896611,13ª,Escola em tempo integral,
53,ESCOLA ESTADUAL NOEL NUTELS,27036790,JACINTINHO,RUA JARBAS DE ANDRADE CABRAL,-9.636917664,-35.71170956,1ª,Escola de Ensino Regular,
54,ESCOLA ESTADUAL NOSSA SRa DO BOM CONSELHO,27034917,CHA DE BEBEDOURO,LADEIRA PROFESSOR BENEDITO SILVA,-9.628347444,-35.75112991,13ª,Escola em tempo integral,
55,ESCOLA ESTADUAL ONELIA CAMPELO,27035786,SANTOS DUMONT,RUA SANTA TEREZINHA,-9.558479018,-35.78509188,13ª,Escola de Ensino Regular,
56,ESCOLA ESTADUAL OTACILIO HOLANDA DE ANDRADE,27036014,PETROPOLIS,RUA SAO LUIZ,-9.609134682,-35.74670483,1ª,Escola de Ensino Regular,
57,ESCOLA ESTADUAL OVIDIO EDGAR DE ALBUQUERQUE,27038483,TABULEIRO DOS MARTINS,RUA JOSE LOBO DE MEDEIROS,-9.576468968,-35.77377495,13ª,Escola em tempo integral,
58,ESCOLA ESTADUAL PADRE CABRAL,27036677,FERNAO VELHO,PRACA EDUARDO SANTOS,-9.590286148,-35.78260487,13ª,Escola de Ensino Regular,
59,ESCOLA ESTADUAL PASTOR JOSE TAVARES DE SOUZA,27036480,BENEDITO BENTES,AVENIDA ARTHUR VALENTE JUCA,-9.539549309,-35.72163376,13ª,Escola de Ensino Regular,
60,ESCOLA ESTADUAL PRINCESA ISABEL,27036960,FAROL,AVENIDA FERNANDES LIMA,-9.639361944,-35.7393337,13ª,Escola em tempo integral,
61,ESCOLA ESTADUAL PROF ANISIO TEIXEIRA,27038572,PRADO,RUA EDGAR DE GOES MONTEIRO,-9.671324775,-35.75028729,1ª,Escola de Ensino Regular,
62,ESCOLA ESTADUAL PROF EDUARDO ALMEIDA DA SILVA,27036707,GARCA TORTA,RUA SAO PEDRO,-9.585655981,-35.66307581,1ª,Escola de Ensino Regular,
63,ESCOLA ESTADUAL PROF EDUARDO DA MOTA TRIGUEIROS,27036642,JATIUCA,RUA CORONEL ADAUTO BARBOSA - CJ STº EDUARDO,-9.656179966,-35.71427882,1ª,Escola em tempo integral,
64,ESCOLA ESTADUAL PROF JOSE DA SILVEIRA CAMERINO,27036987,FAROL,AVENIDA FERNANDES LIMA,-9.638936707,-35.73710533,13ª,Escola em tempo integral,
65,ESCOLA ESTADUAL PROF PEDRO TEIXEIRA DE VASCONCELOS,27037010,FEITOSA,RUA PAU DARCO,-9.644524295,-35.7279268,1ª,Escola em tempo integral,
66,ESCOLA ESTADUAL PROF SEBASTIAO DA HORA,27038599,PITANGUINHA,RUA MARTINS MURTA,-9.638680395,-35.73174462,13ª,Escola de Ensino Regular,
67,ESCOLA ESTADUAL PROF VIRGINIO DE CAMPOS,27037045,PONTA DA TERRA,RUA FIRMINO VASCONCELOS,-9.661882715,-35.71058874,1ª,Escola em tempo integral,
68,ESCOLA ESTADUAL PROFESSOR AFRANIO LAGES,27034887,FAROL,AVENIDA FERNANDES LIMA,-9.641704952,-35.74103666,13ª,Escola em tempo integral,
69,ESCOLA ESTADUAL PROFESSOR JOSE REMI LIMA,27037258,CLIMA BOM,RUA SAO JOSE SN,-9.567493718,-35.78617794,13ª,Escola de Ensino Regular,
70,ESCOLA ESTADUAL PROFESSOR JOSE VITORINO DA ROCHA,27036995,PINHEIRO,RUA ANTONIO PROCOPIO,-9.640171367,-35.74031938,13ª,Escola em tempo integral,
71,ESCOLA ESTADUAL PROFESSOR LIBERALINO BONFIM DE OLIVEIRA,27253007,RIO NOVO,RUA VEREADOR HERMINIO CARDOSO,-9.577665349,-35.80776416,13ª,Escola de Ensino Regular,
